EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row2;row403;row763	row2_M(C13)+H[1+];row403_M+Na[1+];row763_M+H[1+]	C00245	Taurine
E4	row6	row6_M+H[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E6	row11;row12	row11_M+Na[1+];row12_M+Na[1+]	C00082;CE2174	L-Tyrosine$
E7	row187	row187_M+H[1+]	C02505	2-Phenylacetamide
E9	row30	row30_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate
E13	row34	row34_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E14	row35	row35_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E17	row52	row52_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E18	row37;row53	row37_M[1+];row53_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E19	row1202	row1202_M+Na[1+]	C00670	sn-Glycero-3-phosphocholine
E22	row41;row614;row67	row41_M+H[1+];row614_M+Na[1+];row67_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan
E24	row455;row47	row455_M+Na[1+];row47_M(C13)+H[1+]	C00906	5,6-Dihydrothymine
E25	row49	row49_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E26	row68;row87	row68_M+H[1+];row87_M(C13)+H[1+]	C02714	N-Acetylputrescine
E27	row69	row69_M+H[1+]	C00179	Agmatine; (4-Aminobutyl) guanidine
E28	row72;row92	row72_M+H[1+];row92_M(C13)+H[1+]	C00250	Pyridoxal
E32	row79;row80;row94	row79_M+H[1+];row80_M+H[1+];row94_M(C13)+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E33	row81	row81_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E34	row508;row82;row97	row508_M+Na[1+];row82_M+H[1+];row97_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E42	row170;row542	row170_M+Na[1+];row542_M+H[1+]	C00791	
E43	row171	row171_M+H[1+]	C00093	Glycerol 3-phosphate
E44	row172;row776	row172_M+H[1+];row776_M+Na[1+]	C00093	Glycerol 3-phosphate
E48	row206	row206_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E49	row207	row207_M+Na[1+]	C02727	N6-Acetyl-L-lysine
E51	row212;row456;row478;row496	row212_M+Na[1+];row456_M[1+];row478_M+H[1+];row496_M(C13)+H[1+]	C00242	Guanine
E52	row457;row479;row497	row457_M[1+];row479_M+H[1+];row497_M(C13)+H[1+]	C00242	Guanine
E53	row218;row233	row218_M+H[1+];row233_M(C13)+H[1+]	C00108	Anthranilate
E54	row228;row611	row228_M+Na[1+];row611_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid
E55	row232	row232_M+Na[1+]	CE2153	
E56	row232	row232_M+H[1+]	CE2176	3-O-methyldopa
E57	row237	row237_M+H[1+]	C02693	Indole-3-acetamide
E59	row240	row240_M+H[1+]	C00437	N2-Acetyl-L-ornithine
E61	row252;row882	row252_M+H[1+];row882_M+Na[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate
E62	row253;row627	row253_M+Na[1+];row627_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E63	row254	row254_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E66	row260;row261;row262;row650;row677	row260_M+Na[1+];row261_M+Na[1+];row262_M+Na[1+];row650_M+H[1+];row677_M(C13)+H[1+]	C05829	
E70	row273	row273_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E72	row887	row887_M+Na[1+]	C00954;C05634	Indole-3-acetate$5-Hydroxyindoleacetaldehyde
E80	row323;row324	row323_M+Na[1+];row324_M+Na[1+]	C00988	2-Phosphoglycolate
E81	row329	row329_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E82	row329;row346;row857	row329_M+H[1+];row346_M(C13)+H[1+];row857_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine
E89	row362;row384	row362_M+H[1+];row384_M(C13)+H[1+]	C01035	4-Guanidinobutanoate
E91	row357;row387	row357_M+H[1+];row387_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol
E94	row363;row397	row363_M+H[1+];row397_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine
E95	row364;row398	row364_M+H[1+];row398_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine
E98	row369;row401	row369_M+H[1+];row401_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine
E100	row413;row431	row413_M+H[1+];row431_M(C13)+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E102	row392;row433;row962	row392_M+H[1+];row433_M(C13)+H[1+];row962_M+Na[1+]	C03740	5-L-Glutamyl-L-alanine
E103	row393;row394;row434	row393_M+H[1+];row394_M+H[1+];row434_M(C13)+H[1+]	C03740	5-L-Glutamyl-L-alanine
E104	row395;row435;row963	row395_M+H[1+];row435_M(C13)+H[1+];row963_M+Na[1+]	C03740	5-L-Glutamyl-L-alanine
E105	row964	row964_M+Na[1+]	C03740	5-L-Glutamyl-L-alanine
E106	row396	row396_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine
E108	row439;row480	row439_M+H[1+];row480_M(C13)+H[1+]	C00864	(R)-Pantothenate
E109	row2469;row441	row2469_M+Na[1+];row441_M+2H[2+]	CE2054;CE5976	20-carboxy-leukotriene-B4$12-oxo-10,11-dihydro-20-COOH-LTB4
E110	row442	row442_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI
E114	row1024	row1024_M+H[1+]	C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine; Saccharopine; L-Saccharopine; N-[(S)-5-Amino-5-carboxypentyl]-L-glutamic acid
E117	row459	row459_M+H[1+]	C02646	4-Coumaryl alcohol; 4-Hydroxycinnamyl alcohol; p-Coumaryl alcohol
E118	row467;row468	row467_M+Na[1+];row468_M+Na[1+]	C16550	Dechloroethylcyclophosphamide; 3-Dechloroethylifosfamide
E119	row469	row469_M+Na[1+]	C05584	3-Methoxy-4-hydroxymandelate; Vanillylmandelic acid
E121	row494	row494_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate
E122	row495	row495_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate
E125	row472	row472_M+H[1+]	C00847	4-Pyridoxate; 4-Pyridoxic acid
E126	row473	row473_M+H[1+]	C00847	4-Pyridoxate; 4-Pyridoxic acid
E127	row1035	row1035_M+Na[1+]	C01239	N-Acetyl-beta-D-glucosaminylamine
E128	row475	row475_M+H[1+]	C01239	N-Acetyl-beta-D-glucosaminylamine
E129	row476	row476_M+Na[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E134	row481	row481_M+H[1+]	C00519	Hypotaurine
E135	row487	row487_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
