m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID
142.0653	156.03	0.0012976495895746691	30.32254275674467		1.016142556177396		
110.957	36.26	0.04803186085035285	-5.564772492602403		-2.7369337510674114		
143.0454	298.15	0.037889037294822986	6.168980270934412		0.8676353352280088		
171.0479	32.33	0.018763770190612095	8.390916439954593		1.5346129243237172		
115.0027	297.76	0.04983388497685197	-5.469973991398119		-0.6094829689670433		
146.0272	132.43	0.011947011999591996	10.477207579133712		1.9062198222850242		
116.0061	297.63	0.030754041301274924	-6.685961947314295		-0.6437158792651267		
85.0648	36.13	0.04493605770344014	5.783738647347371		0.9306757358441828		
147.0667	197.78	0.014918378215048258	9.282293347374743		0.6333577703403392		
117.0677	210.31	0.015276597996250764	9.131732078788644		0.5777968281938826		
117.074	210.31	0.018956337234419852	8.351743993461366	C6H14S	0.6322755304471634	1-Hexanethiol,Diisopropyl sulfide,Dipropyl sulfide	kp87_118.0812
173.994	25.59	0.020950440158883758	7.950338369485142	C6H6O4S,C6H6O4S	0.9893469283868406	O-Phenolsulfonic acid,Phenol sulphate,O-Phenolsulfonic acid,Phenol sulphate	kp71_173.9979
148.9057	28.88	0.004642161181847043	16.893557271327058		2.626880413639139		
174.0114	259.25	0.048064108379447426	5.545148162001802	C7H7FO2S	1.3580615018785664	Phenylmethylsulfonyl fluoride,p-TOLUENESULFONYL FLUORIDE	kp78_174.0154
118.0746	210.31	0.013752057808278286	9.743388898525671		0.6274706312067373		
149.0462	189.84	0.035266401605003495	6.345357604671259		0.7816332874180283		
149.0599	34.69	0.018333445849260277	8.493722207199578		1.2646626586903764		
151.0756	24.01	0.025905980577508606	7.1913747411886995		1.240362974861771		
176.0922	210.18	0.013752057808278286	9.728356816447857	C7H15NO4	0.8222968403207815	N-Methyl-1-deoxynojirimycin	kp304_177.0996
127.0577	32.19	0.0040009315290352255	18.628603333068757		2.1775285583106694		
127.998	33.9	0.049502334351375014	5.486432350360362		1.7650907636465938		
182.0428	221.47	0.024067477856666235	7.4244341467366315		1.1131802031851414		
107.0491	25.32	0.014992368455850245	9.248813919479089		0.8394291853678517		
159.0919	156.29	0.008728283302606735	12.535441067232853	C10H12N2	1.0386251955952055	Tryptamine,1,2,3,6-Tetrahydro-2,3'-bipyridine,Anatabine,N-Norgramine,2-(1H-Indol-2-yl)ethanamine,Tolazoline,Anabaseine	kp1912_160.0993
196.0222	220.03	0.026401463569490354	-7.143992917342863		-0.31217916970753024		
196.0723	252.66	0.02343450786314724	7.604697590926369		4.003482664146304		
185.0926	285.41	0.0405270814967079	-5.990142103463168		-1.7004358134039883		
186.0555	156.29	0.03610865753004661	6.279342051938965		1.0059297889587135		
197.0619	221.47	0.013752057808278286	9.815252196502238	C7H13NO4	1.2114646213454208	Calystegine B5,hydroxyvalerylglycine,Calystegine B2,2-Aminoheptanedioic acid,(S)-Dimethyl 2-aminopentanedioate,Glabrin A,2-(Carboxymethylamino)-3-methylbutanoic acid,Pegorgotein,N-Carboxyethyl-g-aminobutyric acid	kp261_175.0839
137.0235	31.67	0.012095873261488782	10.406078334342752		1.0008816372059073		
137.9857	163.67	0.037889037294822986	-6.155843319236509		-2.763377837766754		
187.1334	34.82	0.02343450786314724	7.621429242870402		1.0193782311504123		
188.0097	25.32	0.025756132437715008	7.246239065245164		0.8077284061890815		
199.0067	24.67	0.011947011999591996	10.51593847226017		1.1684340237911464		
